name,rating,user_ratings_total
Market Cocina,,
Red Lobster,4.0,1714.0
Bonefish Grill,4.4,2715.0
El indio Mexican Restaurant,4.4,661.0
King Doh Restaurant,4.2,214.0
Starbucks,4.2,313.0
Domino's Pizza,3.5,137.0
Amighetti's,4.3,627.0
froYo Premium Frozen Yogurt,3.4,150.0
WOW Café,3.7,11.0
Charcoal House,4.2,146.0
Arby's,3.8,471.0
Hangar Kitchen + Bar,4.3,231.0
MoMo Coffee Champagne Kitchen,4.1,53.0
Smoothie King,3.6,124.0
Himalayan Hut Restaurant (Authentic Indian & Nepali Food),4.2,327.0
Chuck's Hot Chicken,4.6,90.0
A'mis Pizza,4.5,484.0
Picadeli,,
Brentwood Plaza,4.3,789.0
Chicken Scratch,4.4,34.0
Koibito Poke - Warson Woods,,
San José Mexican Restaurant,4.3,419.0
Layla,4.3,320.0
DD Mau Vietnamese Eatery,4.7,250.0
Silver Pancake House,4.5,151.0
The Parkmoor Drive-In,4.4,171.0
Lester's,4.4,999.0
Kreis' Steakhouse & Bar,4.5,1172.0
Fleming’s Prime Steakhouse & Wine Bar,4.6,996.0
Starbucks,4.2,460.0
Racquet Club Ladue,4.9,40.0
BrickTop's,4.5,1085.0
Truffles,4.7,285.0
Brio Italian Grille,4.1,1583.0
Sportsmans Park Restaurant & Bar,4.5,478.0
Sugo's Spaghetteria,4.4,435.0
Canyon Cafe,4.3,690.0
Shack Breakfast & Lunch,4.6,1524.0
Grassi's Ristorante & Deli,4.7,628.0
Deer Creek Coffee,4.3,278.0
Gourmet to Go,4.5,24.0
Companion-Ladue,4.3,204.0
Chef's Express at Schnucks,3.3,7.0
Mariposa,4.7,30.0
Zodiac,5.0,2.0
Ladue Taco,4.7,31.0
Maull's Barbecue Sauce,,
569Dine,,
Truffles Butchery,4.5,27.0
Neon Banana,4.4,18.0
Picadeli,,
Everbowl - Ladue,4.6,58.0
Provinces,4.4,113.0
NASCAR Wings,,
Pardon My Cheesesteak,1.7,11.0
