name,rating,user_ratings_total
Meramec Tavern,4.5,34.0
Novella Wine Bar,4.9,148.0
The Drawing Board,4.9,97.0
Cotter's Sports Bar and Karaoke Lounge,4.4,237.0
Triple Crown Café,5.0,5.0
The Haunt,4.6,332.0
The Famous Bar,4.5,318.0
Smoking Barrels BBQ,4.3,599.0
The Attic Music Bar,4.5,59.0
Deja Vu Hookah Lounge,5.0,1.0
The Golden Hoosier,4.6,593.0
Bootleggin' Bob's,4.5,42.0
Stan's Bar,4.4,222.0
Off Fifty Five Bar & Grill,4.6,90.0
Behrmann's Tavern,4.3,60.0
JD's Corner,4.4,31.0
Infinity Blue Sport Bar & Restaurant,4.5,24.0
Little Bar,4.6,96.0
Sasha's on Shaw,4.4,796.0
Blackthorn Pub and Pizza,4.4,1116.0
Hodak's Restaurant & Bar,4.5,5174.0
Amsterdam Tavern,4.6,641.0
QDOBA Mexican Eats,3.9,697.0
Grey Fox Pub,4.1,410.0
Friendly's Sports Bar & Grill,4.4,733.0
HandleBar,4.5,792.0
Just John Club,4.1,205.0
Riley's Pub,4.6,367.0
Alpha Brewing Company,4.5,328.0
ELAIA,4.4,116.0
Tick Tock Tavern,4.7,302.0
Crafted.,4.4,593.0
The Choice Restaurant,3.9,436.0
San Loo,4.7,119.0
CBGB,4.8,288.0
Miracle StL,4.4,75.0
The Improv Shop,4.8,418.0
Yaquis on Cherokee,4.5,477.0
Tower Pub,4.6,430.0
The B-Side,4.5,266.0
The Ready Room,4.5,870.0
Parlor,4.3,414.0
The Whiskey Ring,4.6,358.0
Gallery Pub on Thurman,4.8,77.0
Steve's Hot Dogs,4.7,1885.0
The Night Owl,4.8,23.0
Tea Dance Tower Grove Park,,
New Society,5.0,10.0
The Gin Room,4.7,124.0
El Leñador,4.7,24.0
Press Box Sports Bar & Kitchen,4.2,45.0
1 Nite Stand,4.1,129.0
Busch On Tap,,
Stella Blues LLC,4.5,551.0
Keypers Piano Bar,4.4,218.0
The Lucky Accomplice,4.6,212.0
Press,4.9,99.0
Greenfinch Theater & Dive,5.0,15.0
City Park Grill,4.5,946.0
Tres Equis,4.6,34.0
Chunky Boys,4.5,163.0
'ssippi,4.8,78.0
The Get Down,4.9,184.0
Small Change STL,4.8,179.0
Bar K St. Louis,4.8,1156.0
The Cola Private Lounge,4.9,19.0
Barkeep STL,,
The Vandy,5.0,41.0
Sueño Latino Restaurant,4.6,195.0
Tropical Liqueurs,4.5,536.0
Rehab Bar And Grill,4.0,255.0
Open Concept,4.0,188.0
Arzolas Fajitas + Margaritas,4.8,466.0
Seven 14 Lounge,4.5,24.0
Takashima Record Bar,4.4,117.0
La Calle Mexican Restaurant,4.3,46.0
Drunken Fish - Central West End,4.0,1227.0
Pi Pizzeria - Central West End,4.3,1482.0
Bar Italia,4.3,453.0
Dressel's Pub,4.5,722.0
HandleBar,4.5,792.0
The Gramophone,4.7,2719.0
Sanctuaria,4.1,575.0
Brennan's,4.5,481.0
The Scottish Arms,4.6,1348.0
Just John Club,4.1,205.0
Diablitos Cantina,4.0,289.0
Chase Club,4.3,360.0
QDOBA Mexican Eats,3.7,809.0
Applebee's Grill + Bar,3.8,1944.0
Vino STL,4.5,141.0
ShiSha Restaurant & Lounge,3.9,475.0
The Preston,4.1,130.0
Pagan Wine Bar,4.9,192.0
Evangeline's Bistro and Music House,4.3,1198.0
Scarlett's Wine Bar,4.5,400.0
Modern Brewery & The Kings Oak,4.6,206.0
Legacy Bar & Grill,4.5,438.0
Urban Chestnut Grove Brewery and Bierhall,4.5,1019.0
The Twisted Tiki,4.4,559.0
Parlor,4.3,414.0
The Ready Room,4.5,870.0
Layla,4.5,1735.0
Saigon Cafe,4.5,499.0
Narwhal's Crafted,4.7,1340.0
The Improv Shop,4.8,418.0
Sunday Best by Juniper,4.5,848.0
Rosie's Place,4.6,120.0
Brass Bar,5.0,2.0
Lazy Tiger,4.7,87.0
The Maryland House,4.1,15.0
Up-Down STL,4.7,2073.0
Blue Strawberry,4.5,311.0
Wasabi Sushi Bar Cortex,4.2,195.0
Shred’s Internet Cafe,4.0,7.0
Retreat Gastropub,4.6,1118.0
Platypus,4.7,201.0
Prism,4.5,40.0
La Calle Mexican Restaurant,4.3,46.0
Open Concept,4.0,188.0
Takashima Record Bar,4.4,117.0
Tropical Liqueurs,4.5,536.0
Rehab Bar And Grill,4.0,255.0
The Vandy,5.0,41.0
Barkeep STL,,
The Get Down,4.9,184.0
The Meaning of Bar,5.0,1.0
UPBar,3.9,241.0
The Braiders Bar,,
Firehouse 282,4.5,167.0
Marshas Ltd,4.4,207.0
J's Hideout,,
Harlem Tap Room,4.4,275.0
Black Door Bar And Grill,4.4,26.0
Janay's Cocktail Lounge (formerly Peter Gunn's Lounge),4.3,188.0
Legends Bar & Grill,4.5,520.0
Diana's Royal Palace,4.1,138.0
Lady J & Tony G,4.3,62.0
josephine baker jazz & blues club,4.0,5.0
NBC Lounge,4.2,378.0
Cocktail Lounge,4.0,22.0
Beulah's Red Velvet Lounge,3.6,33.0
City Magic Cocktail Lounge & Restaurant,4.2,131.0
The Braiders Bar,,
Midtown Bar & Grill,4.1,420.0
R & B Hideout Bar & Grill,,
Jake's Copacabana,,
Bikers Corner,4.2,584.0
Playground Bar & Grill,4.4,163.0
Gateway Lounge,5.0,2.0
DSquared Bistro,4.5,236.0
Sit & Sip,4.6,17.0
Hurns Cocktail Lounge,4.5,279.0
Midtown Sports Bar & Grill,4.1,168.0
